diseased,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
1,313,-327,127,75,-114,129,199
1,96,439,96,89,210,-61,-49
1,96,439,96,89,210,-61,-49
1,315,1360,249,333,862,704,308
1,445,-836,185,199,-548,208,333
1,159,-97,83,79,93,151,161
1,160,236,88,97,-522,-112,-200
1,146,362,97,143,323,234,143
0,209,194,93,200,465,237,339
1,91,-1175,20,-166,-818,-255,73
1,187,129,95,182,241,232,185
1,324,-811,170,166,-330,-56,80
1,467,438,474,483,340,376,382
1,1013,640,1291,926,577,842,777
1,374,-1001,168,156,-272,-117,202
1,179,-795,121,17,-461,-248,38
1,179,-795,121,17,-461,-248,38
1,75,-210,36,-19,-335,-12,173
1,228,1191,166,341,967,523,207
0,181,113,97,132,-117,122,184
1,353,-1243,136,108,-815,54,232
0,181,113,97,132,-117,122,184
1,181,113,97,132,-117,122,184
0,109,17,63,66,206,197,113
1,196,-69,71,94,180,169,220
1,304,750,172,324,424,325,181
0,132,-591,100,70,-56,255,396
1,185,347,92,153,385,5,2
1,233,-950,135,160,100,92,166
1,162,-1531,58,-87,-877,-92,253
0,405,-1244,282,264,-693,157,261
1,47,-29,29,32,-52,-44,-46
1,367,-1073,207,200,-659,112,226
1,173,320,103,161,440,395,197
1,-75,-1382,-148,-298,-1342,-724,-298
0,-75,-1382,-148,-298,-1342,-724,-298
1,60,-309,16,-12,553,84,5
0,214,493,123,250,377,77,151
0,384,-747,122,143,-182,214,298
1,146,-673,70,64,-421,-156,40
1,242,-969,125,142,-164,293,196
0,172,244,77,153,261,211,186
1,195,-973,244,-6,-265,138,270
1,0,0,0,0,0,0,0
0,167,-793,3,7,-409,-63,110
1,175,-249,95,97,-194,63,158
1,192,-437,93,103,-273,-89,85
0,192,-437,93,103,-273,-89,85
1,192,-437,93,103,-273,-89,85
1,319,-1498,131,166,-981,-124,93
0,30,-1008,-43,-173,-1013,-282,-30
0,30,-1008,-43,-173,-1013,-282,-30
1,12,-1055,17,-99,-665,-391,-14
0,366,-606,198,197,-205,57,250
1,286,-1005,174,199,-238,162,245
1,4159,2490,3916,3834,2142,2112,1574
1,426,683,761,525,719,379,355
1,426,683,761,525,719,379,355
1,-39,-1370,65,-203,-943,-619,-125
1,313,-1188,104,70,-287,94,339
1,105,719,86,112,749,236,102
1,342,124,177,236,212,387,372
1,344,-1214,218,212,-893,-85,158
1,101,86,54,64,112,108,151
1,958,-340,1003,916,128,494,501
1,1862,1108,1931,1763,1204,1783,1624
1,278,464,349,244,472,366,156
1,278,464,349,244,472,366,156
1,306,-714,164,160,-309,2,104
1,306,-714,164,160,-309,2,104
